cluster_key,ra_deg,dec_deg,distance_kpc,distance_sigma_kpc,pmra_masyr,pmdec_masyr,pmra_sigma_masyr,pmdec_sigma_masyr,pmra_pmdec_corr,vlos_kms,vlos_sigma_kms,pm_cov_ra_ra_mas2yr2,pm_cov_ra_dec_mas2yr2,pm_cov_dec_dec_mas2yr2,pm_cov_det,pm_cov_min_eig,pm_cov_max_eig,position_sampling,pm_sampling,distance_sampling,vlos_sampling,pm_distance_cross_covariance,rv_astrometry_cross_covariance,additional_pm_systematic_floor,distance_frac_sigma,pm_corr_abs,X_kpc,Y_kpc,Z_kpc,U_kms,V_kms,W_kms,R_GC_kpc
GRAN 5,267.228,-24.17,4.91,0.31,-5.353,-9.312,0.0459999999999999,0.0429999999999999,0.0599999999999999,-58.87,3.27,0.0021159999999999,0.0001186799999999,0.0018489999999999,3.898399057599999e-06,0.0018038741552854,0.0021611258447145,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0631364562118126,0.0599999999999999,3.29,0.38,0.16,27.97,-1.55,0.7,3.3118725820900776
HP 1,262.771667,-29.981667,7.0,0.14,2.5,-10.049,0.028,0.027,0.17,39.76,1.22,0.000784,0.00012852,0.0007289999999999,5.550186096000001e-07,0.0006250707779829,0.000887929222017,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.02,0.17,1.19,-0.31,0.26,-49.6,16.99,-243.09,1.2297154142320896
IC 1257,261.785431,-7.093056,26.59,1.43,-1.029,-1.49,0.025,0.019,0.2399999999999999,-137.97,2.04,0.000625,0.000114,0.0003609999999999,2.1262900000000007e-07,0.000318586697755,0.0006674133022449,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0537796163971417,0.2399999999999999,-16.43,7.3,6.95,55.77,-5.13,-13.47,17.978734660704017
IC 1276,272.684441,-7.207595,4.55,0.25,-2.555,-4.586,0.0149999999999999,0.0149999999999999,0.04,155.06,0.69,0.0002249999999999,8.999999999999999e-06,0.0002249999999999,5.0544e-08,0.0002159999999999,0.000234,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0549450549450549,0.04,3.97,1.69,0.45,-196.33,204.37,24.13,4.314742170744389
IC 4499,225.077188,-82.213792,18.89,0.25,0.457,-0.4919999999999999,0.007,0.007,-0.05,38.41,0.31,4.9000000000000005e-05,-2.4500000000000003e-06,4.9000000000000005e-05,2.3949975e-09,4.655000000000001e-05,5.145e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0132345156167284,0.05,-2.56,-14.07,-6.61,-30.75,247.81,-61.21,14.30099646877797
LAEVENS 3,316.7267,14.9805,61.77,1.65,0.2419999999999999,-0.748,0.1019999999999999,0.079,0.07,-70.3,0.82,0.0104039999999999,0.00056406,0.006241,6.461320031639998e-05,0.0061659272714327,0.0104790727285672,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0267119961146187,0.07,-17.44,51.59,-22.31,-68.19,74.23,-144.15,54.45807286344239
LILLER 1,263.352333,-33.389556,8.06,0.34,-5.183,-6.979,0.1759999999999999,0.1429999999999999,0.3499999999999999,60.36,2.44,0.0309759999999999,0.0088087999999999,0.0204489999999999,0.0005558332665599,0.0154509509117774,0.0359740490882224,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0421836228287841,0.3499999999999999,0.15,-0.72,-0.02,-41.46,-83.37,28.07,0.7354590403278757
LYNGA 7,242.765213,-55.317776,7.9,0.16,-3.836,-7.071,0.0609999999999999,0.0529999999999999,0.19,17.86,0.8299999999999998,0.0037209999999999,0.0006142699999999,0.0028089999999999,1.00749613671e-05,0.0024999747501552,0.0040300252498447,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.020253164556962,0.19,1.43,-4.09,-0.39,125.71,1.23,-89.33,4.332782016210832
NGC 104,6.023792,-72.081306,4.52,0.0299999999999999,5.253,-2.557,0.008,0.008,-0.0299999999999999,-17.45,0.16,6.4e-05,-1.9200000000000003e-06,6.4e-05,4.092313599999999e-09,6.208e-05,6.591999999999999e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0066371681415929,0.0299999999999999,6.3,-2.59,-3.19,77.52,170.83,46.02,6.811615080140686
NGC 1261,48.067543,-55.216225,16.4,0.19,1.599,-2.064,0.0089999999999999,0.0089999999999999,0.0599999999999999,71.34,0.2099999999999999,8.099999999999999e-05,4.859999999999998e-06,8.099999999999999e-05,6.537380399999998e-09,7.613999999999999e-05,8.585999999999998e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0115853658536585,0.0599999999999999,8.08,-10.07,-12.95,-78.82,57.52,68.81,12.910898497006318
NGC 1851,78.52816,-40.046555,11.95,0.13,2.138,-0.67,0.008,0.008,-0.1499999999999999,321.4,1.55,6.4e-05,-9.6e-06,6.4e-05,4.003839999999999e-09,5.44e-05,7.36e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0108786610878661,0.1499999999999999,12.39,-8.83,-6.86,81.45,-68.15,-83.31,15.21449966315028
