cluster_key,ra_deg,dec_deg,distance_kpc,distance_sigma_kpc,pmra_masyr,pmdec_masyr,pmra_sigma_masyr,pmdec_sigma_masyr,pmra_pmdec_corr,vlos_kms,vlos_sigma_kms,pm_cov_ra_ra_mas2yr2,pm_cov_ra_dec_mas2yr2,pm_cov_dec_dec_mas2yr2,pm_cov_det,pm_cov_min_eig,pm_cov_max_eig,position_sampling,pm_sampling,distance_sampling,vlos_sampling,pm_distance_cross_covariance,rv_astrometry_cross_covariance,additional_pm_systematic_floor,distance_frac_sigma,pm_corr_abs
GRAN 5,267.22800000000001,-24.170000000000002,4.9100000000000001,0.31,-5.3529999999999998,-9.3119999999999994,0.045999999999999999,0.042999999999999997,0.059999999999999998,-58.869999999999997,3.27,0.0021159999999999998,0.00011867999999999998,0.0018489999999999997,3.8983990575999993e-06,0.0018038741552854121,0.0021611258447145876,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.06313645621181263,0.059999999999999998
HP 1,262.77166699999998,-29.981667000000002,7,0.14000000000000001,2.5,-10.048999999999999,0.028000000000000001,0.027,0.17000000000000001,39.759999999999998,1.22,0.00078400000000000008,0.00012852,0.00072899999999999994,5.5501860959999996e-07,0.00062507077798297668,0.00088792922201702334,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.02,0.17000000000000001
IC 1257,261.78543100000002,-7.0930559999999998,26.59,1.4299999999999999,-1.0289999999999999,-1.49,0.025000000000000001,0.019,0.23999999999999999,-137.97,2.04,0.00062500000000000012,0.00011400000000000001,0.00036099999999999999,2.1262900000000004e-07,0.00031858669775501641,0.00066741330224498376,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.05377961639714178,0.23999999999999999
IC 1276,272.68444099999999,-7.2075950000000004,4.5499999999999998,0.25,-2.5550000000000002,-4.5860000000000003,0.014999999999999999,0.014999999999999999,0.040000000000000001,155.06,0.68999999999999995,0.00022499999999999999,8.9999999999999985e-06,0.00022499999999999999,5.0543999999999999e-08,0.00021599999999999999,0.000234,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.054945054945054944,0.040000000000000001
IC 4499,225.07718800000001,-82.213791999999998,18.890000000000001,0.25,0.45700000000000002,-0.49199999999999999,0.0070000000000000001,0.0070000000000000001,-0.050000000000000003,38.409999999999997,0.31,4.9000000000000005e-05,-2.4500000000000003e-06,4.9000000000000005e-05,2.3949975000000005e-09,4.6550000000000007e-05,5.1450000000000004e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.013234515616728428,0.050000000000000003
LAEVENS 3,316.72669999999999,14.980499999999999,61.770000000000003,1.6499999999999999,0.24199999999999999,-0.748,0.10199999999999999,0.079000000000000001,0.070000000000000007,-70.299999999999997,0.81999999999999995,0.010403999999999998,0.00056406000000000002,0.006241,6.4613200316399982e-05,0.0061659272714327494,0.010479072728567251,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.026711996114618743,0.070000000000000007
LILLER 1,263.35233299999999,-33.389555999999999,8.0600000000000005,0.34000000000000002,-5.1829999999999998,-6.9790000000000001,0.17599999999999999,0.14299999999999999,0.34999999999999998,60.359999999999999,2.4399999999999999,0.030975999999999997,0.0088087999999999986,0.020448999999999995,0.00055583326655999981,0.015450950911777497,0.035974049088222493,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.042183622828784122,0.34999999999999998
LYNGA 7,242.76521299999999,-55.317776000000002,7.9000000000000004,0.16,-3.8359999999999999,-7.0709999999999997,0.060999999999999999,0.052999999999999999,0.19,17.859999999999999,0.82999999999999996,0.0037209999999999999,0.00061426999999999999,0.0028089999999999999,1.0074961367099999e-05,0.0024999747501552642,0.0040300252498447348,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.020253164556962026,0.19
NGC 104,6.0237920000000003,-72.081305999999998,4.5199999999999996,0.029999999999999999,5.2530000000000001,-2.5569999999999999,0.0080000000000000002,0.0080000000000000002,-0.029999999999999999,-17.449999999999999,0.16,6.3999999999999997e-05,-1.9200000000000003e-06,6.3999999999999997e-05,4.0923136000000002e-09,6.2080000000000002e-05,6.5919999999999992e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0066371681415929211,0.029999999999999999
NGC 1261,48.067543000000001,-55.216225000000001,16.399999999999999,0.19,1.599,-2.0640000000000001,0.0089999999999999993,0.0089999999999999993,0.059999999999999998,71.340000000000003,0.20999999999999999,8.099999999999999e-05,4.8599999999999984e-06,8.099999999999999e-05,6.5373803999999981e-09,7.6139999999999986e-05,8.5859999999999994e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.011585365853658538,0.059999999999999998
