cluster_key,X_kpc,Y_kpc,Z_kpc,U_kms,V_kms,W_kms
NGC 6981,-3.29,8.08,-9.0,62.03,-146.06,170.23
NGC 7006,-8.21,33.27,-13.06,62.61,-134.21,84.85
NGC 7078,4.16,8.62,-4.91,-106.01,53.95,-30.3
NGC 7089,2.52,7.61,-6.83,73.27,146.63,-173.8
NGC 7099,3.03,2.64,-6.17,1.8,-80.48,107.84
NGC 7492,1.68,8.74,-21.82,-1.29,-75.12,70.68
PAL 1,14.98,8.09,3.64,-64.32,206.67,-24.56
PAL 10,2.73,7.08,0.43,-272.22,10.22,26.44
PAL 11,-3.3,7.12,-3.77,-129.7,-83.56,-14.16
PAL 12,-2.55,6.32,-13.67,-327.57,18.08,109.51
PAL 13,7.31,17.23,-15.92,161.51,216.8,-77.87
PAL 14,-39.62,26.22,49.42,-99.22,77.43,122.42
PAL 15,-29.85,12.98,18.17,-136.67,65.03,53.59
PAL 2,33.67,4.25,-4.13,-104.05,-10.43,24.77
PAL 3,43.34,-61.26,63.29,-41.1,135.12,51.48
PAL 4,37.47,-12.02,96.32,147.95,32.27,7.63
PAL 5,-7.1,0.22,15.74,49.28,-144.14,-10.2
PAL 6,1.14,0.26,0.22,-194.0,-52.44,181.72
PAL 8,-2.72,2.74,-1.34,-46.04,-67.23,-26.26
PATCHICK 126,0.66,-2.68,-0.53,210.96,-6.02,6.65
PYXIS,13.65,-35.84,4.45,-107.18,215.25,159.69
RUP 106,-2.23,-17.41,4.19,118.81,226.1,31.88
SAGITTARIUS II,-49.79,19.89,-25.88,-22.93,-119.98,199.42
TER 1,2.51,-0.24,0.1,-62.2,97.77,2.95
TER 10,-2.0,0.79,-0.33,-249.96,-1.58,225.31
TER 12,3.07,0.75,-0.19,-127.81,128.87,101.76
TER 2,0.45,-0.5,0.31,-131.58,9.08,-49.5
TER 3,0.89,-1.94,1.22,181.97,113.2,89.05
TER 4,0.61,-0.53,0.17,54.76,39.76,94.74
TER 5,1.58,0.44,0.19,58.48,79.79,-27.76
TER 6,0.91,-0.18,-0.27,-141.03,-60.0,18.66
TER 7,-14.59,1.35,-8.33,-266.95,-29.06,196.22
TER 8,-16.74,2.51,-11.44,-278.55,-15.93,173.31
TER 9,2.42,0.36,-0.2,-91.02,44.46,-47.51
TON 2,1.29,-1.12,-0.42,182.4,154.24,169.82
UKS 1,-7.34,1.39,0.21,-90.83,35.25,-40.64
VVV-CL001,0.13,0.74,0.11,304.62,100.38,81.91
VVV-CL160,1.48,1.2,0.04,-342.4,-200.24,-197.76
WHITING 1,22.41,4.73,-26.66,-246.96,32.88,-7.97
